course_id,course_name,credits,category,prereq,notes
ARTS3760,3D Animation I,,GenEd_AH,,
ARTS3770,2D Animation II,,GenEd_AH,,
ARTS3780,Interactive Media ll,,GenEd_AH,,
ARTS3800,Special Topics in Art & Design,,GenEd_AH,,
ARTS3811,Game Design I,,GenEd_AH,,
ARTS3820,Art & Design of Data Visual.,,GenEd_AH,,
ARTS3870,Writing & Photography,,GenEd_AH,,
ARTS3950,Advertising Design Studio,,GenEd_AH,,
ARTS3970,Art & Copy,,GenEd_AH,,
ARTS3980,Documentary Image,,GenEd_AH,,
ARTS4000,Portfolio Seminar,,GenEd_AH,,
ARTS4100,Graphic Design III,,GenEd_AH,,
ARTS4110,Design In Motion,,GenEd_AH,,
ARTS4200,Web Design III,,GenEd_AH,,
ARTS4300,Typography III,,GenEd_AH,,
ARTS4310,Publication Design,,GenEd_AH,,
ARTS4350,Sculpture III,,GenEd_AH,,
ARTS4550,Thought Made Visible,,GenEd_AH,,
ARTS4710,Painting III,,GenEd_AH,,
ARTS4811,Game Design II,,GenEd_AH,,
ARTS4910,Advanced Studio,,GenEd_AH,,
ARTS4920,Advanced Studio,,GenEd_AH,,
ARTS4930,Senior Studio I,,GenEd_AH,,
ARTS4940,Directed Study,,GenEd_AH,,
ARTS4950,Advanced Tutorial,,GenEd_AH,,
ARTS4970,Senior Studio,,GenEd_AH,,
ARTS4980,Senior Studio II,,GenEd_AH,,
ENGL2000,Critical Methods of Lit Inq.,,GenEd_AH,,
ENGL2010,Classical Mythology,,GenEd_AH,,
ENGL2020,Great Books Modern,,GenEd_AH,,
ENGL2070,Eng.St.in Digital Environment,,GenEd_AH,,
ENGL2100,Drama,,GenEd_AH,,
ENGL2110,Poetry,,GenEd_AH,,
ENGL2120,Short Story,,GenEd_AH,,
ENGL2150,The Essay,,GenEd_AH,,
ENGL2160,Monsters,,GenEd_AH,,
ENGL2170,The Horror Story,,GenEd_AH,,
ENGL2180,Comedy,,GenEd_AH,,
ENGL2200,Oral & Wrttn Comm for CS,,GenEd_AH,,
ENGL2220,Oral Communication,,GenEd_AH,,
ENGL2240,Business Writing,,GenEd_AH,,
ENGL2260,Scientific & Tech Comm,,GenEd_AH,,
ENGL2270,Essay Writing/Eng Majors,,GenEd_AH,,
ENGL2290,Essay Writing,,GenEd_AH,,
ENGL2320,Turning Fiction into Film,,GenEd_AH,,
ENGL2330,Play Analysis,,GenEd_AH,,
ENGL2360,Science Fiction & Fantasy,,GenEd_AH,,
ENGL2380,Intro to Creative Writing,,GenEd_AH,,
ENGL2390,Intro. to Professional Writing,,GenEd_AH,,
ENGL2400,Literature and Women,,GenEd_AH,,
ENGL2420,The Heroine in Modern Fiction,,GenEd_AH,,
ENGL2430,Contemporary Women Writers,,GenEd_AH,,
ENGL2460,Gay & Lesbian Literature,,GenEd_AH,,
ENGL2490,Lit on Tech & Human Val,,GenEd_AH,,
ENGL2500,The Bible as Literature,,GenEd_AH,,
ENGL2510,War in Literature,,GenEd_AH,,
ENGL2530,Culture of Amer Sport,,GenEd_AH,,
ENGL2570,Family in Amer Lit,,GenEd_AH,,
ENGL2580,Disability in Literature,,GenEd_AH,,
ENGL2670,Discovering Shakespeare,,GenEd_AH,,
ENGL2675,Vikings,,GenEd_AH,,
ENGL2720,Modern European Fiction,,GenEd_AH,,
ENGL2770,American Ethnic Literature,,GenEd_AH,,
ENGL2810,British Literary Traditions,,GenEd_AH,,
ENGL2820,American Literary Traditions,,GenEd_AH,,
ENGL2830,World Lit in Translation I,,GenEd_AH,,
ENGL2840,World Lit. in Translation II,,GenEd_AH,,
ENGL2850,Crime in Literature,,GenEd_AH,,
ENGL2860,The Graphic Narrative: Comics,,GenEd_AH,,
ENGL2910,History of English Lit I,,GenEd_AH,,
ENGL2920,History of English Lit II,,GenEd_AH,,
ENGL2940,History American Lit I,,GenEd_AH,,
ENGL2950,History of American Lit II,,GenEd_AH,,
ENGL2980,Children's Literature,,GenEd_AH,,
ENGL3000,Intro to Journalism,,GenEd_AH,,
ENGL3020,Creative Writing: Fiction,,GenEd_AH,,
ENGL3030,Creative Writing: Poetry,,GenEd_AH,,
ENGL3040,Creative Writng: Playwriting,,GenEd_AH,,
ENGL3050,Reviewing the Arts,,GenEd_AH,,
ENGL3060,Intermediate Prof. Writing,,GenEd_AH,,
ENGL3070,Hist of the English Language,,GenEd_AH,,
ENGL3080,Analysis of Mod Eng,,GenEd_AH,,
ENGL3100,Writing Popular Fiction,,GenEd_AH,,
ENGL3110,The South in American Lit,,GenEd_AH,,
ENGL3120,Lit.of Colonial America,,GenEd_AH,,
ENGL3130,Realism & Naturalism Amer Fict,,GenEd_AH,,
ENGL3150,Old English,,GenEd_AH,,
ENGL3154,Mid Eng.Lit.& Lang.(1066-1500),,GenEd_AH,,
ENGL3170,British Lit of 20th Century,,GenEd_AH,,
ENGL3200,Personal & Reflective Writ,,GenEd_AH,,
ENGL3210,Community Writing I,,GenEd_AH,,
ENGL3220,C.Writing: Non-fiction I,,GenEd_AH,,
ENGL3230,Writing About People,,GenEd_AH,,
ENGL3240,Writing About Place,,GenEd_AH,,
ENGL3245,Writing about the Environment,,GenEd_AH,,
ENGL3250,The Rise of the Novel,,GenEd_AH,,
ENGL3270,Victorian Fiction,,GenEd_AH,,
ENGL3280,Writing About Women,,GenEd_AH,,
ENGL3300,20th Century Brit Novel,,GenEd_AH,,
ENGL3310,American Novels to 1900,,GenEd_AH,,
ENGL3320,20th Century Amer. Novel,,GenEd_AH,,
ENGL3330,American Autobiography,,GenEd_AH,,
ENGL3350,American Women Novelists,,GenEd_AH,,
