course_id,course_name,credits,category,prereq,notes
CRIM6400,Crim Mind & Behavior,,GenEd_SS,,
CRIM6410,Mental Health & Crim Justice,,GenEd_SS,,
CRIM6420,Sex Crimes and Offenders,,GenEd_SS,,
CRIM6500,Violence in America,,GenEd_SS,,
CRIM6510,Criminal Homicide,,GenEd_SS,,
CRIM6520,Social Ecology of Crime,,GenEd_SS,,
CRIM6530,Gangs,,GenEd_SS,,
CRIM6540,Elite Deviance & Wht.Coll.Crme,,GenEd_SS,,
CRIM6550,Substance Abuse & Crime,,GenEd_SS,,
CRIM6560,Criminal Careers Foundations,,GenEd_SS,,
CRIM6570,Criminal Careers Contemporary,,GenEd_SS,,
CRIM6580,Iss.in Comp.CrimeCyber Sec.,,GenEd_SS,,
CRIM6610,Comparative Criminal Justice,,GenEd_SS,,
CRIM6620,Glbl.Issues&Hum.RightsJus.,,GenEd_SS,,
CRIM6630,Prisons A Global Perspective,,GenEd_SS,,
CRIM6640,Weapons of Mass Destruction,,GenEd_SS,,
CRIM6650,Glbl.Trfkng.&.Crim. Networks,,GenEd_SS,,
CRIM6660,Terrorism Networks,,GenEd_SS,,
CRIM6670,Advanced Security Studies,,GenEd_SS,,
CRIM6680,Sci.Techn.Dim.of Nat.Security,,GenEd_SS,,
CRIM6690,Counterterrorism Pol. & Strat.,,GenEd_SS,,
CRIM6700,Sem.in Terrorism Studies,,GenEd_SS,,
CRIM6800,Selected Topics,,GenEd_SS,,
CRIM6830,Directed Study,,GenEd_SS,,
CRIM6890,Sp.Top.in Crim.Just.Crimlgy.,,GenEd_SS,,
CRIM6900,Advanced Regression Analysis,,GenEd_SS,,
CRIM6910,Advanced Research Design,,GenEd_SS,,
CRIM6919,Directed Study CJ,,GenEd_SS,,
CRIM6920,Qualitative Research Methods,,GenEd_SS,,
CRIM6930,Survey Methods,,GenEd_SS,,
CRIM6940,Crime Analysis & Mapping,,GenEd_SS,,
CRIM6960,Prog. Evaluation Methods,,GenEd_SS,,
CRIM6970,Sec.Stud.Proj.DesignDefense,,GenEd_SS,,
CRIM6980,Sec.Stud.Capstone 1 Data Coll.,,GenEd_SS,,
CRIM6990,Sec.Stud.Cap. Research Paper,,GenEd_SS,,
CRIM6993,Capstone Resrch Paper in CJ,,GenEd_SS,,
CRIM7000,Dissertation Seminar I,,GenEd_SS,,
CRIM7010,Dissertation Seminar II,,GenEd_SS,,
CRIM7030,Dissertation Supervision,,GenEd_SS,,
