term_id,term_label,course_id,course_name,credits,category,prereq,coreq,min_grade,notes
Y1F,Year 1 Fall,MECH 1100,Foundations in Mechanical/Industrial Engineering,1,Major,,,,,
Y1F,Year 1 Fall,MATH 1310,Calculus I,4,Math,,,,Placement 76–100 or Precalc II C-
Y1F,Year 1 Fall,CHEM 1210,Chemistry I,3,Science,,CHEM 1230L,,,
Y1F,Year 1 Fall,CHEM 1230L,Chemistry I Laboratory,1,Lab,,CHEM 1210,,,
Y1F,Year 1 Fall,ENGL 1010,College Writing I,3,GenEd,,,,,
Y1F,Year 1 Fall,SOCI 1010,Social Science Elective,3,GenEd,,,,,

Y1S,Year 1 Spring,MECH 1200,Intro to Engineering Design,3,Major,MECH 1100,,,,,
Y1S,Year 1 Spring,MATH 1320,Calculus II,4,Math,MATH 1310,,,,"C- preferred, not required"
Y1S,Year 1 Spring,PHYS 1410,Physics I,3,Science,MATH 1310,PHYS 1410L|MATH 1320,C-,Calc co-req
Y1S,Year 1 Spring,PHYS 1410L,Physics I Laboratory,1,Lab,,PHYS 1410,,,
Y1S,Year 1 Spring,ENGL 1020,College Writing II,3,GenEd,ENGL 1010,,,,,
Y1S,Year 1 Spring,HIST 1080,Arts & Humanities Elective,3,GenEd,,,,,

Y2F,Year 2 Fall,IENG 2100,Design and Manufacturing,3,Major,MECH 1200,,,,,
Y2F,Year 2 Fall,ENGN 2050,Statics,3,Major,PHYS 1410,MATH 1320,C-,,
Y2F,Year 2 Fall,MECH 2960,Materials Science for Engineers,3,Major,CHEM 1210|CHEM 1230L,,C-,ME/IE majors only
Y2F,Year 2 Fall,MATH 2310,Calculus III,4,Math,MATH 1320,,,,,
Y2F,Year 2 Fall,PHYS 2450,Physical Properties of Matter,3,Science,PHYS 1410,MATH 1320,,C- in PHYS 1410 required
Y2F,Year 2 Fall,PHYS 2450L,Physical Properties of Matter Lab,1,Lab,PHYS 1410,PHYS 2450,,,

Y2S,Year 2 Spring,ENGN 2100,Professional Development Seminar,1,Major,,,,,
Y2S,Year 2 Spring,ENGN 2060,Strength of Materials,3,Major,ENGN 2050|MATH 1320,,C-,,
Y2S,Year 2 Spring,ENGN 2070,Dynamics,3,Major,ENGN 2050|MATH 1320,,C-,,
Y2S,Year 2 Spring,MECH 2420,Thermodynamics,3,Major,CHEM 1210|MATH 1320|PHYS 2450,,,C-,,
Y2S,Year 2 Spring,MATH 2340,Differential Equations,3,Math,MATH 1320,,,,,
Y2S,Year 2 Spring,GENED SS,Social Science Elective,3,GenEd,,,,,

Y3F,Year 3 Fall,MECH 3210,Kinematics of Mechanisms,3,Major,ENGN 2050|ENGN 2070|MECH 2010,,C-,,
Y3F,Year 3 Fall,MECH 3810,Fluid Mechanics,3,Major,MATH 2310|MATH 2360|ENGN 2070|MECH 2420,,C-,,
Y3F,Year 3 Fall,MECH 3610,Mathematical Methods for MEs,3,Major,MATH 1320|MATH 2340|MATH 2360,,,
Y3F,Year 3 Fall,PHYS 1440,Physics II,3,Science,PHYS 1410|PHYS 1410L|MATH 1320,PHYS 1440L,C-,,
Y3F,Year 3 Fall,PHYS 1440L,Physics II Laboratory,1,Lab,PHYS 1410L,PHYS 1440,C-,,
Y3F,Year 3 Fall,PHIL 2410,Ethics,3,GenEd,,,,Arts & Humanities option
Y3F,Year 3 Fall,PHIL 1030,Introduction to Ethics,3,GenEd,,,,Alternate AH option

Y3S,Year 3 Spring,MECH 3230,Control of Automated Systems,3,Major,MECH 3210,,C-,,
Y3S,Year 3 Spring,MECH 3820,Heat Transfer,3,Major,MECH 3810,,C-,,
Y3S,Year 3 Spring,MECH 3110,Applied Strength of Materials,3,Major,ENGN 2060|ENGN 2050|MECH 2960|MECH 3610|MATH 2310,,C-,,
Y3S,Year 3 Spring,MECH 3020,Instrumentation and Measurement Laboratory,1,Lab,ENGN 2060,MECH 3010,C-,Must be taken with MECH 3010
Y3S,Year 3 Spring,MECH 3010,Technical Communication for Mechanical Engineers,2,Major,ENGL 1020,MECH 3020,,Must be taken with MECH 3020
Y3S,Year 3 Spring,ECON 2010,Economics (Macro),3,GenEd,,,,Social Science option
Y3S,Year 3 Spring,ECON 2020,Economics (Micro),3,GenEd,,,,Alternate SS option

Y4F,Year 4 Fall,MECH 4410,Thermo-Fluid Applications,3,Major,MECH 2420,MECH 3820,C-,Co-req Heat Transfer
Y4F,Year 4 Fall,MECH 4030,Thermo-Fluid Laboratory,3,Lab,MECH 3820|MECH 4410,,C-,,
Y4F,Year 4 Fall,MECH 4250,Design of Machine Elements,3,Major,MECH 3220|MECH 3230|MECH 2960|MECH 3110,,C-,,
Y4F,Year 4 Fall,MECH 4510,Dynamics of Mechanical Systems,3,Major,MATH 2360|ENGN 2070|PHYS 1440,,C-,,
Y4F,Year 4 Fall,MECH 4730,Design Theory and Constraints,3,Major,MECH 3020,,C-,,

Y4S,Year 4 Spring,MECH 4230,Capstone Design Project,3,Major,MECH 4410|MECH 4250|MECH 4730|Senior_Status,,,Requires senior status and permission
Y4S,Year 4 Spring,ME_TECH_ELEC1,Technical Elective 1,3,TechElective,,,,,
Y4S,Year 4 Spring,ME_TECH_ELEC2,Technical Elective 2,3,TechElective,,,,,
Y4S,Year 4 Spring,ME_TECH_ELEC3,Technical Elective 3,3,TechElective,,,,,
Y4S,Year 4 Spring,GENED_AH,Arts & Humanities Elective,3,GenEd,,,,,
