course_id,course_name,credits,prereq,notes,category,source_sheet
MECH5260,Transport Proc.in Energy Sys.,,,,TechElective,Sheet1
MECH5270,Solar Energy Engineering,,,,TechElective,Sheet1
MECH5280,Photovoltaics Manufacturing,,,,TechElective,Sheet1
MECH5285,Energy Policy and Energy Codes,,,,TechElective,Sheet1
MECH5290,Fuel Cell Fundamentals,,,,TechElective,Sheet1
MECH5300,Autonomous Robotic Systems,,,,TechElective,Sheet1
MECH5320,Off-Grid Solar Electric System,,,,TechElective,Sheet1
MECH5340,Green Combustion and Biofuels,,,,TechElective,Sheet1
MECH5350,Fund. of Sustainable Energy,,,,TechElective,Sheet1
MECH5420,Convective Heat/mass Tr,,,,TechElective,Sheet1
MECH5450,Adv Indust Heat & MassTransfer,,,,TechElective,Sheet1
MECH5490,Cooling/Electronic Equipment,,,,TechElective,Sheet1
MECH5500,Vibrations,,,,TechElective,Sheet1
MECH5530,MEMS & Microsystems,,,,TechElective,Sheet1
MECH5540,Dynamic Sys & Controls,,,,TechElective,Sheet1
MECH5580,Aero/Wind Eng,,,,TechElective,Sheet1
MECH5590,Multi-Scale Comp. Fluid Dyn. I,,,,TechElective,Sheet1
MECH5620,Solid Mechanics I,,,,TechElective,Sheet1
MECH5710,Quality Engineering,,,,TechElective,Sheet1
MECH5740,Design For Reliabil Eng,,,,TechElective,Sheet1
MECH5750,Industrial Des of Exper,,,,TechElective,Sheet1
MECH5760,Engineering Proj Mngmnt,,,,TechElective,Sheet1
MECH5790,Robotics,,,,TechElective,Sheet1
MECH5810,Adv Fluid Mechanics,,,,TechElective,Sheet1
MECH5830,Advanced Aerodynamics,,,,TechElective,Sheet1
MECH5840,Ocean Engineering,,,,TechElective,Sheet1
MECH5910,Mech Behavior of Materials,,,,TechElective,Sheet1
MECH5930,Graduate Co-op Education,,,,TechElective,Sheet1
MECH5960,Mech of Composite Materials,,,,TechElective,Sheet1
MECH5970,Processing of Composites,,,,TechElective,Sheet1
MECH5980,Experimental Charact. of Comp.,,,,TechElective,Sheet1
PHYS4010,Radiation Safety & Control I,,,,TechElective,Sheet1
PHYS4020L,Radiation Safety & Control II,,,,TechElective,Sheet1
PHYS4060,Nuclear Instrumentation,,,,TechElective,Sheet1
PHYS4090,Nuclear Instrumentation,,,,TechElective,Sheet1
PHYS4110,Physics Perspectives,,,,TechElective,Sheet1
PHYS4110L,Sr Research In Rad Sci,,,,TechElective,Sheet1
PHYS4130,Mechanics,,,,TechElective,Sheet1
PHYS4170,Space Science Mission Design,,,,TechElective,Sheet1
PHYS4210,Statistical Thermodynamics,,,,TechElective,Sheet1
PHYS4240,Environmental Health Physics,,,,TechElective,Sheet1
PHYS4350,Intro Quantum Mechanics I,,,,TechElective,Sheet1
PHYS4360,Intro Quantum Mechanics II,,,,TechElective,Sheet1
PHYS4390,Electro-Optics,,,,TechElective,Sheet1
PHYS4400,Image Processing,,,,TechElective,Sheet1
PHYS4410,Radiochemistry,,,,TechElective,Sheet1
PHYS4450L,Characterization of Materials,,,,TechElective,Sheet1
PHYS4470,Laser Physics & Applications,,,,TechElective,Sheet1
PHYS4530L,Health Physics Capstone,,,,TechElective,Sheet1
PHYS4531L,Optics Project,,,,TechElective,Sheet1
PHYS4540,Physics Capstone,,,,TechElective,Sheet1
PHYS4560,Radiative Proc in Astrophysics,,,,TechElective,Sheet1
PHYS4610,Nuclear Physics I,,,,TechElective,Sheet1
PHYS4620,Radiation Biology,,,,TechElective,Sheet1
PHYS4630,Computational Methods Physics,,,,TechElective,Sheet1
PHYS4640,Particle Astrophysics,,,,TechElective,Sheet1
PHYS4650,Physics of Radiation Oncology,,,,TechElective,Sheet1
PHYS4670L,Automation Techniques,,,,TechElective,Sheet1
PHYS4690,Plasma Physics,,,,TechElective,Sheet1
PHYS4720,Solid State Physics,,,,TechElective,Sheet1
PHYS4770,SS Elec & Optoelec Devices,,,,TechElective,Sheet1
PHYS4780,Integ Optics: WG & Lasers,,,,TechElective,Sheet1
PHYS4810,Math Methods of Rad Sci,,,,TechElective,Sheet1
PHYS4820,Num Methods of Rad Sci,,,,TechElective,Sheet1
PHYS4950L,Spec Research Problems I,,,,TechElective,Sheet1
PHYS4960L,Spec Research Prob II,,,,TechElective,Sheet1
PHYS4970L,Senior Thesis in Physics,,,,TechElective,Sheet1
PHYS5010,"Energy, Force & Motion",,,,TechElective,Sheet1
PHYS5130,Mechanics,,,,TechElective,Sheet1
PHYS5170,Space Science Mission Design,,,,TechElective,Sheet1
PHYS5210,Statistical Thermodynamics,,,,TechElective,Sheet1
PHYS5350,Intro Quantum Mechanics I,,,,TechElective,Sheet1
PHYS5360,Intro Quantum Mechanics II,,,,TechElective,Sheet1
PHYS5380,Physical Optics & Waves,,,,TechElective,Sheet1
PHYS5390,Electro-Optics,,,,TechElective,Sheet1
PHYS5400,Image Processing,,,,TechElective,Sheet1
PHYS5450L,Characterization of Materials,,,,TechElective,Sheet1
PHYS5470,Laser Physics & Applications,,,,TechElective,Sheet1
PHYS5520,Contemporary Physics,,,,TechElective,Sheet1
PHYS5530,Electromagnetism I,,,,TechElective,Sheet1
PHYS5540,Electromagnetism II,,,,TechElective,Sheet1
PHYS5550,Introduction to Space Physics,,,,TechElective,Sheet1
PHYS5560,Radiative Proc in Astrophysics,,,,TechElective,Sheet1
PHYS5610,Nuclear Physics I,,,,TechElective,Sheet1
PHYS5630,Computational Methods in Phys.,,,,TechElective,Sheet1
PHYS5640,Particle Astrophysics,,,,TechElective,Sheet1
PHYS5670L,Automation Techniques,,,,TechElective,Sheet1
PHYS5690,Plasma Physics,,,,TechElective,Sheet1
PHYS5720,Solid State Physics,,,,TechElective,Sheet1
PHYS5770,SS Elec & Optoelec Devices,,,,TechElective,Sheet1
PHYS5780,Integ Optics: WG & Lasers,,,,TechElective,Sheet1
PHYS5830,Astronomy and Astrophysics I,,,,TechElective,Sheet1
PHYS5870,Cloud Physics,,,,TechElective,Sheet1
PHYS5930L,Graduate Physics Lab,,,,TechElective,Sheet1
PLAS4030,Mech Behavior of Polymers,,,,TechElective,Sheet1
PLAS4040,Process Control,,,,TechElective,Sheet1
PLAS4060,"Polymer Struct, Prop and Appl",,,,TechElective,Sheet1
PLAS4090,Senior Research Plastics I,,,,TechElective,Sheet1
PLAS4100,Coop Assessment II,,,,TechElective,Sheet1
PLAS4150,Capstone Project I,,,,TechElective,Sheet1
PLAS4160,Capstone Project II,,,,TechElective,Sheet1
PLAS4170,Honors Capstone Project II,,,,TechElective,Sheet1
PLAS4180,Product & Process Design,,,,TechElective,Sheet1
PLAS4200,Co-op Assessment 2 (6 months),,,,TechElective,Sheet1
PLAS4500,Nanoscale Transport Phenomena,,,,TechElective,Sheet1
PLAS5000,Adv Proj In Plastics I,,,,TechElective,Sheet1
PLAS5010,Adv Proj In Plastics II,,,,TechElective,Sheet1
PLAS5030,Mech Behavior of Polymers,,,,TechElective,Sheet1
PLAS5060,Poly Struc Properties & Applic,,,,TechElective,Sheet1
PLAS5090,Plastics Processing Theory I,,,,TechElective,Sheet1
PLAS5100,Plastics Processing Theory II,,,,TechElective,Sheet1
PLAS5110,Polymer Blends,,,,TechElective,Sheet1
PLAS5120,Porous Polymers,,,,TechElective,Sheet1
PLAS5130,New Plastics Materials,,,,TechElective,Sheet1
PLAS5140,Statistics for Six Sigma,,,,TechElective,Sheet1
PLAS5150,Lean Plastics Manufacturing,,,,TechElective,Sheet1
PLAS5180,Plastics Product Design,,,,TechElective,Sheet1
PLAS5220,Adv Proj in Plastics IV,,,,TechElective,Sheet1
PLAS5240,"Proc Analysis, Instrum & Contr",,,,TechElective,Sheet1
PLAS5250,Syn Fibers:Proc.-Stru.-Prop.,,,,TechElective,Sheet1
PLAS5280,Pl Information Data Bases,,,,TechElective,Sheet1
PLAS5300,Selected Topics,,,,TechElective,Sheet1
PLAS5320,Adhesives & Adhesion,,,,TechElective,Sheet1
PLAS5330,Coatings Science & Tech I,,,,TechElective,Sheet1
PLAS5340,Coatings Science & Tech. II,,,,TechElective,Sheet1
PLAS5350,Rubber Technology,,,,TechElective,Sheet1
PLAS5360,Rheology of Polymers,,,,TechElective,Sheet1
PLAS5370,Business Law for Engineers,,,,TechElective,Sheet1
PLAS5400,Commercial Develop of Plastics,,,,TechElective,Sheet1
PLAS5410,Computer App in Plastics,,,,TechElective,Sheet1
PLAS5420,Colloidal Nanosci & Nano Eng,,,,TechElective,Sheet1
PLAS5440,Advanced Plastics Materials,,,,TechElective,Sheet1
PLAS5450,Additives for Polymer Material,,,,TechElective,Sheet1
PLAS5470,Mat.for Renewable Energy & Sus,,,,TechElective,Sheet1
PLAS5480,Analytical and Numerical Meth,,,,TechElective,Sheet1
PLAS5490,Product Design for Elastomers,,,,TechElective,Sheet1
PLAS5500,Processing with Elastomers,,,,TechElective,Sheet1
PLAS5510,Extrusion Die Design,,,,TechElective,Sheet1
PLAS5520,Machine Design,,,,TechElective,Sheet1
PLAS5530,Medical Device Design I,,,,TechElective,Sheet1
PLAS5540,Medical Device Design II,,,,TechElective,Sheet1
PLAS5630,Curr Top/ Plastics Materials I,,,,TechElective,Sheet1
PLAS5640,Curr Top/Plastics Materials II,,,,TechElective,Sheet1
PLAS5650,Thermosets,,,,TechElective,Sheet1
PLAS5660,Poly Mat'l Sys Solution,,,,TechElective,Sheet1
PLAS5680,Dynamic Mech Prop II,,,,TechElective,Sheet1
PLAS5690,Curr Top/Plastics Design I,,,,TechElective,Sheet1
PLAS5700,Curr Top/Plastics Processing I,,,,TechElective,Sheet1
PLAS5710,Plastics Processing Eng Lab I,,,,TechElective,Sheet1
PLAS5720,Adv. Plastics Proc Eng Lab,,,,TechElective,Sheet1
PLAS5740,Advance Physical Prop. Lab,,,,TechElective,Sheet1
PLAS5750,Biomaterials I,,,,TechElective,Sheet1
PLAS5760,Advanced Mold Design,,,,TechElective,Sheet1
PLAS5770,Plastics Process Engineering I,,,,TechElective,Sheet1
PLAS5780,Advanced Plastics Processing,,,,TechElective,Sheet1
PLAS5790,Prob In Biomat/Directed Study,,,,TechElective,Sheet1
PLAS5820,Curr Top/Plastics Design II,,,,TechElective,Sheet1
PLAS5830,Adv Res Methodology,,,,TechElective,Sheet1
PLAS5850,Computer Aided Engineering I,,,,TechElective,Sheet1
PLAS5890,Polymer Nanocomposites,,,,TechElective,Sheet1
PLAS5900,Survey of Intellectual Prop,,,,TechElective,Sheet1
