slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,AMST.2480,Perspectives in American Culture,3,,,,,,,
pool,,Sports Studies Course,3,pool_1,Sports Studies Courses,3 courses,,,,At least 2 of 3 must be at 3000 level or above; see SIS advisement report for approved list
pool,,Sports Studies Course,3,pool_1,Sports Studies Courses,3 courses,,,,
pool,,Sports Studies Course,3,pool_1,Sports Studies Courses,3 courses,,,,
pool,,American Studies Course,3,pool_2,American Studies Courses,2 courses,,,,See SIS advisement report for approved list
pool,,American Studies Course,3,pool_2,American Studies Courses,2 courses,,,,
