slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,WLSP.1010,Spanish 1 and Culture,3,,,,,,,
required,WLSP.1020,Spanish 2 and Culture,3,,,,,,,
required,WLSP.2110,Spanish 3 and Culture,3,,,,,,,
required,WLSP.2120,Spanish 4 and Culture,3,,,,,,,
pool,,Spanish Elective (3000/4000 level),3,pool_1,Upper-Level Spanish Electives,2 courses,,,,At least 2 courses at 3000 level or above
pool,,Spanish Elective (3000/4000 level),3,pool_1,Upper-Level Spanish Electives,2 courses,,,,World Ready courses for Spanish track do not count toward this minor
