slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,WLAR 1150,Arabic 1 and Culture,3,,,,,,,,
required,WLAR 1160,Arabic 2 and Culture,3,,,,,WLAR 1150,,,
required,WLAR 2150,Arabic 3 and Culture,3,,,,,WLAR 1160,,,
required,WLAR 2160,Arabic 4 and Culture,3,,,,,WLAR 2150,,,
pool,,Elective from Arabic Studies course listing,3,pool_electives,Choose 2 to 4 electives (at least 2 at 3000-level or above),2 courses,,,,See Arabic Studies course listing for approved courses
