slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,DGMD.1000,Introduction to Digital Media,3,,,,,,,,
required,DGMD.1100,Introduction to Media Arts Production,3,,,,,,,,
pool,DGMD.3510,Video Production for Digital Media,3,pool_1,Production Requirement,1 course,,,,
pool,DGMD.3400,Lighting Principles,3,pool_1,Production Requirement,1 course,,,,
pool,,Digital Media Elective,3,pool_2,DGMD Electives,9 credits,,,, Must include at least 6 credits at 3000+ level; consult course listing for approved options
