slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ACCT.2010,Financial Accounting,3,,,,,,,
required,ECON.2010,Principles of Microeconomics,3,,,,,,,
required,MGMT.3800,Business Ethics,3,,,,,,,
required,MGMT.3010,Organizational Behavior,3,,,,,,,
required,MGMT.3100,Human Resources Management,3,,,,,,,
pool,MGMT.3200,Leadership Processes,3,pool_1,Leadership Course,1 course,,,,
pool,MGMT.4100,Negotiations,3,pool_1,Leadership Course,1 course,,,,
pool,,Any MGMT 4000-level or higher course,3,pool_2,Management Elective,1 course,,,,
