slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ARHI 2030,History of Art I,3,,,,,,,,
required,ARHI 2040,History of Art II,3,,,,,,,,
pool,,Art History course (3000/4000 level),3,pool_upper,Choose two 3000/4000-level Art History courses,2 courses,,,,Select in consultation with Art History coordinator
pool,,Art History course (any level),3,pool_additional,Choose two additional Art History courses (any level),2 courses,,,,Select in consultation with Art History coordinator; practicum/service-learning encouraged
