slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,PCST.1250,Introduction to Peace and Conflict Studies,3,,,,,,,
pool,,Approved Area A course,3,pool_1,Area A: Global Peace and Diplomacy,1 course,,,,"See SIS advisement report or /catalog/undergraduate/fahss/programs/interdisciplinary-programs/pacs/course-listing.aspx for approved courses"
pool,,Approved Area B course,3,pool_2,Area B: Domestic Peacebuilding and Conflict Resolution,1 course,,,,"See SIS advisement report or /catalog/undergraduate/fahss/programs/interdisciplinary-programs/pacs/course-listing.aspx for approved courses"
pool,,Approved Area C course,3,pool_3,Area C: Sustainability and Environmental Justice,1 course,,,,"See SIS advisement report or /catalog/undergraduate/fahss/programs/interdisciplinary-programs/pacs/course-listing.aspx for approved courses"
pool,,Approved PCST elective (any area),3,pool_4,General Peace and Conflict Studies Electives,2 courses,,,,"At least 6 credits total must be at 3000/4000 level. See SIS advisement report for approved courses"
