slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,POLI.2010,Research Methods,3,,,,,,, Required for the minor
pool,,Any POLI course,3,pool_1,Political Science Electives,15 credits,,,,At least 6 credits must be at the 3000-level or above
pool,,Any POLI course,3,pool_1,Political Science Electives,15 credits,,,,
pool,,Any POLI course,3,pool_1,Political Science Electives,15 credits,,,,
pool,,Any POLI course,3,pool_1,Political Science Electives,15 credits,,,,
pool,,Any POLI course,3,pool_1,Political Science Electives,15 credits,,,,
