slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,WLGE.1010,German 1 and Culture,3,,,,,,,
required,WLGE.1020,German 2 and Culture,3,,,,,,,
required,WLGE.2110,German 3 and Culture,3,,,,,,,
required,WLGE.2120,German 4 and Culture,3,,,,,,,
pool,,German Studies Elective,3,pool_1,German Studies Electives,6 credits,,,,,Choose from approved list; see advisor. At least 2 courses at 3000-level or above.
pool,,German Studies Elective,3,pool_1,German Studies Electives,6 credits,,,,,Choose from approved list; see advisor. At least 2 courses at 3000-level or above.
