slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,DGMD.1050,Introduction to Film Studies,3,,,,ENGL.1020,,,,
pool,,Film Studies approved elective,3,pool_1,Film Studies Electives,15 credits,,,,,18 credits total; at least 6 credits must be 3000-level or above; elective list at course-listing-film-studies.aspx; DGMD majors may count up to 3 DGMD courses (9 cr) incl. DGMD.1050 then must take 3 non-DGMD electives
