slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ARTS.1010,Art Concepts I,3,,,,,,,
required,ARTS.1130,Digital Foundations,3,,,,,,,
required,ARTS.2100,Graphic Design I,3,,,,,,,
required,ARTS.2300,Typography I,3,,,,,,,
required,AEST.3600,Aesthetics and Critical Studies of Graphic Design,3,,,,,,,
pool,ARTS.3100,Graphic Design II,3,pool_1,Graphic Design Electives,3 credits,,,,,
pool,ARTS.3300,Typography II,3,pool_1,Graphic Design Electives,3 credits,,,,,
pool,ARTS.3950,Advertising Design,3,pool_1,Graphic Design Electives,3 credits,,,,,
pool,ARTS.4110,Design in Motion,3,pool_1,Graphic Design Electives,3 credits,,,,,
