slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
pool,,Technology Society and Human Values Elective,3,pool_1,Technology Society and Human Values Courses,6 courses,,,,Course list not publicly enumerated in catalog; see SIS advisement report or contact coordinator Sue Kim
pool,,Technology Society and Human Values Elective,3,pool_1,Technology Society and Human Values Courses,6 courses,,,,
pool,,Technology Society and Human Values Elective,3,pool_1,Technology Society and Human Values Courses,6 courses,,,,
pool,,Technology Society and Human Values Elective,3,pool_1,Technology Society and Human Values Courses,6 courses,,,,
pool,,Technology Society and Human Values Elective,3,pool_1,Technology Society and Human Values Courses,6 courses,,,,
pool,,Technology Society and Human Values Elective,3,pool_1,Technology Society and Human Values Courses,6 courses,,,,
